split,rows,r2,mae,mean_daily_rank_ic,mean_5d_quintile_spread,quintile_spread_positive_days
validation,15000,-0.00937204666626923,0.02007398540484976,-0.060783551753016474,-0.0036403861628812283,0.376
test,17640,-0.015876968107455758,0.02367833032757393,-0.010837635459540468,-0.00018352169138289863,0.5102040816326531
